item_id,const_name,name,name_ko,price,pocket,hold_effect,hold_effect_param,description,description_ko,item_type,field_use_func,battle_usage,battle_use_func,secondary_id,importance,registrability
190,ITEM_CLEANSE_TAG,CLEANSE TAG,,200,1,33,0,An item to be held by a POKéMON.\nIt repels wild POKéMON if the\nholder is first in the party.,,4,,0,,0,0,0
191,ITEM_SOUL_DEW,SOUL DEW,,200,1,34,0,An orb to be held by a LATIOS or\nLATIAS. It raises the SP. ATK\nand SP. DEF stats.,,4,,0,,0,0,0
192,ITEM_DEEP_SEA_TOOTH,DEEPSEATOOTH,,200,1,35,0,An item to be held by a POKéMON.\nA fang that gleams a sharp silver.\nIt raises the SP. ATK stat.,,4,,0,,0,0,0
193,ITEM_DEEP_SEA_SCALE,DEEPSEASCALE,,200,1,36,0,An item to be held by a POKéMON.\nA scale that shines a faint pink.\nIt raises the SP. DEF stat.,,4,,0,,0,0,0
194,ITEM_SMOKE_BALL,SMOKE BALL,,200,1,37,0,An item to be held by a POKéMON.\nThe holding POKéMON can flee from\nany wild POKéMON for sure.,,4,,0,,0,0,0
195,ITEM_EVERSTONE,EVERSTONE,,200,1,38,0,An item to be held by a POKéMON.\nThe holding POKéMON is prevented\nfrom evolving.,,4,,0,,0,0,0
196,ITEM_FOCUS_BAND,FOCUS BAND,,200,1,39,10,"An item to be held by a POKéMON.\nThe holding POKéMON may endure an\nattack, leaving just 1 HP.",,4,,0,,0,0,0
197,ITEM_LUCKY_EGG,LUCKY EGG,,200,1,40,0,An item to be held by a POKéMON.\nAn egg filled with happiness that\nearns extra EXP. points in battle.,,4,,0,,0,0,0
198,ITEM_SCOPE_LENS,SCOPE LENS,,200,1,41,0,An item to be held by a POKéMON.\nA lens that boosts the critical-hit\nratio of the holding POKéMON.,,4,,0,,0,0,0
199,ITEM_METAL_COAT,METAL COAT,,100,1,42,10,An item to be held by a POKéMON.\nA special metallic film that boosts\nthe power of STEEL-type moves.,,4,,0,,0,0,0
200,ITEM_LEFTOVERS,LEFTOVERS,,200,1,43,10,An item to be held by a POKéMON.\nThe holding POKéMON gradually\nregains HP during battle.,,4,,0,,0,0,0
201,ITEM_DRAGON_SCALE,DRAGON SCALE,,2100,1,44,10,A thick and tough scale.\nA DRAGON-type POKéMON may be\nholding it.,,4,,0,,0,0,0
202,ITEM_LIGHT_BALL,LIGHT BALL,,100,1,45,0,An orb to be held by a PIKACHU\nthat raises the SP. ATK stat.\nTouching it may cause a shock.,,4,,0,,0,0,0
203,ITEM_SOFT_SAND,SOFT SAND,,100,1,46,10,"An item to be held by a POKéMON.\nA loose, silky sand that boosts the\npower of GROUND-type moves.",,4,,0,,0,0,0
204,ITEM_HARD_STONE,HARD STONE,,100,1,47,10,An item to be held by a POKéMON.\nAn unbreakable stone that boosts\nthe power of ROCK-type moves.,,4,,0,,0,0,0
205,ITEM_MIRACLE_SEED,MIRACLE SEED,,100,1,48,10,An item to be held by a POKéMON.\nA seed imbued with life that boosts\nthe power of GRASS-type moves.,,4,,0,,0,0,0
206,ITEM_BLACK_GLASSES,BLACKGLASSES,,100,1,49,10,An item to be held by a POKéMON.\nA shady-looking pair of glasses\nthat boosts DARK-type moves.,,4,,0,,0,0,0
207,ITEM_BLACK_BELT,BLACK BELT,,100,1,50,10,An item to be held by a POKéMON.\nA belt that boosts determination\nand FIGHTING-type moves.,,4,,0,,0,0,0
208,ITEM_MAGNET,MAGNET,,100,1,51,10,An item to be held by a POKéMON.\nA powerful magnet that boosts the\npower of ELECTRIC-type moves.,,4,,0,,0,0,0
209,ITEM_MYSTIC_WATER,MYSTIC WATER,,100,1,52,10,An item to be held by a POKéMON.\nA teardrop-shaped gem that boosts\nthe power of WATER-type moves.,,4,,0,,0,0,0
210,ITEM_SHARP_BEAK,SHARP BEAK,,100,1,53,10,"An item to be held by a POKéMON.\nA long, sharp beak that boosts the\npower of FLYING-type moves.",,4,,0,,0,0,0
211,ITEM_POISON_BARB,POISON BARB,,100,1,54,10,"An item to be held by a POKéMON.\nA small, poisonous barb that boosts\nthe power of POISON-type moves.",,4,,0,,0,0,0
212,ITEM_NEVER_MELT_ICE,NEVERMELTICE,,100,1,55,10,An item to be held by a POKéMON.\nA piece of ice that repels heat\nand boosts ICE-type moves.,,4,,0,,0,0,0
213,ITEM_SPELL_TAG,SPELL TAG,,100,1,56,10,"An item to be held by a POKéMON.\nA sinister, eerie tag that boosts\nGHOST-type moves.",,4,,0,,0,0,0
214,ITEM_TWISTED_SPOON,TWISTEDSPOON,,100,1,57,10,An item to be held by a POKéMON.\nA spoon imbued with telekinetic\npower boosts PSYCHIC-type moves.,,4,,0,,0,0,0
215,ITEM_CHARCOAL,CHARCOAL,,9800,1,58,10,An item to be held by a POKéMON.\nA combustible fuel that boosts the\npower of FIRE-type moves.,,4,,0,,0,0,0
216,ITEM_DRAGON_FANG,DRAGON FANG,,100,1,59,10,An item to be held by a POKéMON.\nA hard and sharp fang that boosts\nthe power of DRAGON-type moves.,,4,,0,,0,0,0
217,ITEM_SILK_SCARF,SILK SCARF,,100,1,60,10,An item to be held by a POKéMON.\nA sumptuous scarf that boosts the\npower of NORMAL-type moves.,,4,,0,,0,0,0
218,ITEM_UP_GRADE,UP-GRADE,,2100,1,61,0,A transparent device filled with all\nsorts of data.\nIt is made by SILPH CO.,,4,,0,,0,0,0
219,ITEM_SHELL_BELL,SHELL BELL,,200,1,62,8,An item to be held by a POKéMON.\nThe holding POKéMON regains some\nHP upon striking the foe.,,4,,0,,0,0,0
220,ITEM_SEA_INCENSE,SEA INCENSE,,9600,1,52,5,An item to be held by a POKéMON.\nIt slightly boosts the power of\nWATER-type moves.,,4,,0,,0,0,0
221,ITEM_LAX_INCENSE,LAX INCENSE,,9600,1,22,5,An item to be held by a POKéMON.\nIts tricky aroma slightly reduces\nthe foe's accuracy.,,4,,0,,0,0,0
222,ITEM_LUCKY_PUNCH,LUCKY PUNCH,,10,1,63,0,A glove to be held by a CHANSEY.\nIt raises CHANSEY's critical-hit\nratio.,,4,,0,,0,0,0
223,ITEM_METAL_POWDER,METAL POWDER,,10,1,64,0,"A fine, hard powder to be held by\na DITTO.\nIt raises DITTO's DEFENSE stat.",,4,,0,,0,0,0
224,ITEM_THICK_CLUB,THICK CLUB,,500,1,65,0,A hard bone of some sort to be\nheld by a CUBONE or MAROWAK.\nIt raises the ATTACK stat.,,4,,0,,0,0,0
225,ITEM_STICK,STICK,,200,1,66,0,A stick of leek to be held by a\nFARFETCH'D. It raises FARFETCH'D's\ncritical-hit ratio.,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
254,ITEM_RED_SCARF,RED SCARF,,100,1,0,0,An item to be held by a POKéMON.\nIt boosts the holding POKéMON's\nCOOL condition in CONTESTS.,,4,,0,,0,0,0
255,ITEM_BLUE_SCARF,BLUE SCARF,,100,1,0,0,An item to be held by a POKéMON.\nIt boosts the holding POKéMON's\nBEAUTY condition in CONTESTS.,,4,,0,,0,0,0
256,ITEM_PINK_SCARF,PINK SCARF,,100,1,0,0,An item to be held by a POKéMON.\nIt boosts the holding POKéMON's\nCUTE condition in CONTESTS.,,4,,0,,0,0,0
257,ITEM_GREEN_SCARF,GREEN SCARF,,100,1,0,0,An item to be held by a POKéMON.\nIt boosts the holding POKéMON's\nSMART condition in CONTESTS.,,4,,0,,0,0,0
258,ITEM_YELLOW_SCARF,YELLOW SCARF,,100,1,0,0,An item to be held by a POKéMON.\nIt boosts the holding POKéMON's\nTOUGH condition in CONTESTS.,,4,,0,,0,0,0
259,ITEM_MACH_BIKE,MACH BIKE,,0,2,0,0,A folding bicycle that is at least\ntwice as fast as walking.,,2,,0,,0,1,1
260,ITEM_COIN_CASE,COIN CASE,,0,2,0,0,"A case for holding COINS obtained\nat the GAME CORNER.\nIt holds up to 9,999 COINS.",,4,,0,,0,1,0
261,ITEM_ITEMFINDER,ITEMFINDER,,0,2,0,0,"A device used for finding items.\nIf there is a hidden item nearby\nwhen it is used, it emits a signal.",,2,,0,,0,1,1
262,ITEM_OLD_ROD,OLD ROD,,0,2,0,0,An old and beat-up fishing rod.\nUse it by any body of water to \nfish for wild POKéMON.,,2,,0,,OLD_ROD,1,1
263,ITEM_GOOD_ROD,GOOD ROD,,0,2,0,0,"A new, good-quality fishing rod.\nUse it by any body of water to \nfish for wild POKéMON.",,2,,0,,GOOD_ROD,1,1
264,ITEM_SUPER_ROD,SUPER ROD,,0,2,0,0,"An awesome, high-tech fishing rod.\nUse it by any body of water to fish\nfor wild POKéMON.",,2,,0,,SUPER_ROD,1,1
265,ITEM_SS_TICKET,S.S. TICKET,,0,2,0,0,The ticket required for sailing on\nthe ferry S.S. ANNE.\nIt has a drawing of a ship on it.,,4,,0,,0,1,0
266,ITEM_CONTEST_PASS,CONTEST PASS,,0,2,0,0,The pass required for entering\nPOKéMON CONTESTS. It has a\ndrawing of an award ribbon on it.,,4,,0,,0,1,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
268,ITEM_WAILMER_PAIL,WAILMER PAIL,,0,2,0,0,A nifty watering pail.\nUse it to promote strong growth in\nBERRIES planted in soft soil.,,4,,0,,0,1,0
269,ITEM_DEVON_GOODS,DEVON GOODS,,0,2,0,0,A package that contains mechanical\nparts of some sort made by the\nDEVON CORPORATION.,,4,,0,,0,2,0
270,ITEM_SOOT_SACK,SOOT SACK,,0,2,0,0,A sack used to collect volcanic\nash automatically during walks\nover deep ash.,,4,,0,,0,1,0
271,ITEM_BASEMENT_KEY,BASEMENT KEY,,0,2,0,0,"The key to NEW MAUVILLE, which\nwas constructed beneath MAUVILLE\nCITY.",,4,,0,,0,1,0
272,ITEM_ACRO_BIKE,ACRO BIKE,,0,2,0,0,A folding bicycle that is capable\nof stunts like jumps and wheelies.,,2,,0,,1,1,1
273,ITEM_POKEBLOCK_CASE,{POKEBLOCK} CASE,,0,2,0,0,A case for holding {POKEBLOCK}S made\nwith a BERRY BLENDER. It releases\none {POKEBLOCK} when shaken.,,4,,0,,0,1,1
274,ITEM_LETTER,LETTER,,0,2,0,0,An extremely important letter to\nSTEVEN from the PRESIDENT of the\nDEVON CORPORATION.,,4,,0,,0,2,0
275,ITEM_EON_TICKET,EON TICKET,,0,2,0,0,The ticket required for sailing on a\nferry to a distant southern island.\nIt features a drawing of an island.,,4,,0,,1,1,0
276,ITEM_RED_ORB,RED ORB,,0,2,0,0,An orb that glows red.\nIt is said to contain an incredible\npower from ancient times.,,4,,0,,0,2,0
277,ITEM_BLUE_ORB,BLUE ORB,,0,2,0,0,An orb that glows blue.\nIt is said to contain an incredible\npower from ancient times.,,4,,0,,0,2,0
278,ITEM_SCANNER,SCANNER,,0,2,0,0,A device used to search for\nlife-forms in water.\nIt looks too difficult to use.,,4,,0,,0,1,0
279,ITEM_GO_GOGGLES,GO-GOGGLES,,0,2,0,0,A pair of protective goggles.\nThey enable a TRAINER to travel\nthrough even desert sandstorms.,,4,,0,,0,1,0
280,ITEM_METEORITE,METEORITE,,0,2,0,0,A meteorite that fell from space\nonto MT. MOON long ago.\nIt is very lumpy and hard.,,4,,0,,0,1,0
281,ITEM_ROOM_1_KEY,RM. 1 KEY,,0,2,0,0,A key that opens the door to Room\n1 inside the ABANDONED SHIP.\nIt is old and looks easily broken.,,4,,0,,0,1,0
282,ITEM_ROOM_2_KEY,RM. 2 KEY,,0,2,0,0,A key that opens the door to Room\n2 inside the ABANDONED SHIP.\nIt is old and looks easily broken.,,4,,0,,0,1,0
283,ITEM_ROOM_4_KEY,RM. 4 KEY,,0,2,0,0,A key that opens the door to Room\n4 inside the ABANDONED SHIP.\nIt is old and looks easily broken.,,4,,0,,0,1,0
284,ITEM_ROOM_6_KEY,RM. 6 KEY,,0,2,0,0,A key that opens the door to Room\n6 inside the ABANDONED SHIP.\nIt is old and looks easily broken.,,4,,0,,0,1,0
285,ITEM_STORAGE_KEY,STORAGE KEY,,0,2,0,0,A key that opens the storage hold\ninside the ABANDONED SHIP.\nIt is old and looks easily broken.,,4,,0,,0,1,0
286,ITEM_ROOT_FOSSIL,ROOT FOSSIL,,0,2,0,0,"A fossil of an ancient, seafloor-\ndwelling POKéMON. It appears to be\npart of a plant root.",,4,,0,,0,1,0
287,ITEM_CLAW_FOSSIL,CLAW FOSSIL,,0,2,0,0,"A fossil of an ancient, seafloor-\ndwelling POKéMON. It appears to be\npart of a claw.",,4,,0,,0,1,0
288,ITEM_DEVON_SCOPE,DEVON SCOPE,,0,2,0,0,A scope that signals the presence\nof any unseeable POKéMON.\nIt is made by the DEVON CORP.,,4,,0,,0,1,0
289,ITEM_TM01,TM01,,3000,4,0,0,"An extremely powerful attack.\nHowever, if the user is hit before\nusing the move, they will flinch.",,1,,0,,0,0,0
290,ITEM_TM02,TM02,,3000,4,0,0,"Sharp, huge claws hook and slash\nthe foe quickly and with great\npower.",,1,,0,,0,0,0
291,ITEM_TM03,TM03,,3000,4,0,0,The foe is hit with a pulsing blast\nof water. It may also confuse the\ntarget.,,1,,0,,0,0,0
292,ITEM_TM04,TM04,,3000,4,0,0,The user calms its spirit and\nfocuses its mind to raise its\nSP. ATK and SP. DEF stats.,,1,,0,,0,0,0
293,ITEM_TM05,TM05,,1000,4,0,0,"A savage roar that causes the foe\nto switch out of battle. In the\nwild, ROAR ends the battle.",,1,,0,,0,0,0
294,ITEM_TM06,TM06,,3000,4,0,0,A move that leaves the foe badly\npoisoned. Its poison damage worsens\nevery turn.,,1,,0,,0,0,0
295,ITEM_TM07,TM07,,3000,4,0,0,Summons a hailstorm that lasts for\nfive turns. The hailstorm damages\nall types except the ICE type.,,1,,0,,0,0,0
296,ITEM_TM08,TM08,,3000,4,0,0,"The user tightens all its muscles\nand bulks up, boosting both its\nATTACK and DEFENSE stats.",,1,,0,,0,0,0
297,ITEM_TM09,TM09,,3000,4,0,0,The user shoots seeds at the foe\nin rapid succession. Two to five\nseeds are shot at once.,,1,,0,,0,0,0
298,ITEM_TM10,TM10,,3000,4,0,0,A variable move that changes type\nand power depending on the POKéMON\nusing it.,,1,,0,,0,0,0
299,ITEM_TM11,TM11,,2000,4,0,0,"The weather is turned sunny for\nfive turns. Over that time, FIRE-\ntype moves are powered up.",,1,,0,,0,0,0
300,ITEM_TM12,TM12,,3000,4,0,0,A taunted foe may become enraged.\nIt will then only be able to use\nattack moves.,,1,,0,,0,0,0
301,ITEM_TM13,TM13,,3000,4,0,0,An icy-cold beam is shot at the\nfoe. It may leave the target\nfrozen.,,1,,0,,0,0,0
302,ITEM_TM14,TM14,,5500,4,0,0,A vicious snow-and-wind attack that\nstrikes all foes in battle. It may\ncause freezing.,,1,,0,,0,0,0
303,ITEM_TM15,TM15,,7500,4,0,0,"A harsh attack that inflicts severe\ndamage on the foe. However, the\nuser must rest the next turn.",,1,,0,,0,0,0
304,ITEM_TM16,TM16,,3000,4,0,0,A wall of light is created over\nfive turns. It reduces damage from\nSP. ATK attacks.,,1,,0,,0,0,0
305,ITEM_TM17,TM17,,3000,4,0,0,The user is completely protected\nfrom attack in the turn it is used.\nIt may fail if used in succession.,,1,,0,,0,0,0
306,ITEM_TM18,TM18,,2000,4,0,0,"A heavy rain is summoned for five\nturns. Over that time, WATER-type\nmoves are powered up.",,1,,0,,0,0,0
307,ITEM_TM19,TM19,,3000,4,0,0,"The user strikes the foe with\ntentacles or roots, stealing the\ntarget's HP and healing itself.",,1,,0,,0,0,0
308,ITEM_TM20,TM20,,3000,4,0,0,Protects the party with a shield\nagainst all status problems over\nfive turns.,,1,,0,,0,0,0
309,ITEM_TM21,TM21,,1000,4,0,0,This attack move grows more\npowerful the more the POKéMON\ndislikes its TRAINER.,,1,,0,,0,0,0
310,ITEM_TM22,TM22,,3000,4,0,0,"A 2-turn attack that uses the first\nturn for absorbing sunlight, then\nblasting the foe in the next turn.",,1,,0,,0,0,0
311,ITEM_TM23,TM23,,3000,4,0,0,The foe is slammed with a sturdy\ntail of steel. It may lower the\ntarget's DEFENSE stat.,,1,,0,,0,0,0
312,ITEM_TM24,TM24,,3000,4,0,0,A massive jolt of electricity is\nlaunched at the foe. It may cause\nparalysis.,,1,,0,,0,0,0
313,ITEM_TM25,TM25,,5500,4,0,0,Strikes the foe with a huge\nthunderbolt. It may cause\nparalysis.,,1,,0,,0,0,0
314,ITEM_TM26,TM26,,3000,4,0,0,"Causes an earthquake that strikes\nall POKéMON in battle, excluding\nthe user.",,1,,0,,0,0,0
315,ITEM_TM27,TM27,,1000,4,0,0,This attack move grows more\npowerful the more the POKéMON\nlikes its TRAINER.,,1,,0,,0,0,0
316,ITEM_TM28,TM28,,2000,4,0,0,"A 2-turn attack in which the user\ndigs underground, then strikes.\nIt can be used to exit dungeons.",,1,,0,,0,0,0
317,ITEM_TM29,TM29,,2000,4,0,0,A powerful blast of telekinetic\nenergy strikes the foe. It may\nlower the target's SP. DEF stat.,,1,,0,,0,0,0
318,ITEM_TM30,TM30,,3000,4,0,0,The foe is attacked with a shadowy\nlump. It may lower the target's\nSP. DEF stat.,,1,,0,,0,0,0
319,ITEM_TM31,TM31,,3000,4,0,0,"Strikes the foe with a rock-hard\nfist, etc. It shatters barriers such\nas REFLECT and LIGHT SCREEN.",,1,,0,,0,0,0
320,ITEM_TM32,TM32,,2000,4,0,0,The user begins moving so quickly\nthat it creates illusory copies to\nraise its evasiveness.,,1,,0,,0,0,0
321,ITEM_TM33,TM33,,3000,4,0,0,A tough barrier is put up over five\nturns. It reduces damage from\nphysical attacks over that time.,,1,,0,,0,0,0
322,ITEM_TM34,TM34,,3000,4,0,0,A rapid jolt of electricity strikes\nthe foe. This attack is impossible\nto evade.,,1,,0,,0,0,0
323,ITEM_TM35,TM35,,3000,4,0,0,The foe is roasted with a heavy\nblast of fire. It may leave the\ntarget with a burn.,,1,,0,,0,0,0
324,ITEM_TM36,TM36,,1000,4,0,0,Toxic sludge is hurled at the foe\nwith great force. It may also\npoison the target.,,1,,0,,0,0,0
325,ITEM_TM37,TM37,,2000,4,0,0,"Summons a sandstorm that lasts for\nfive turns. It damages all types\nexcept ROCK, GROUND, and STEEL.",,1,,0,,0,0,0
326,ITEM_TM38,TM38,,5500,4,0,0,The foe is incinerated with an\nintense flame. It may leave the\ntarget with a burn.,,1,,0,,0,0,0
327,ITEM_TM39,TM39,,3000,4,0,0,Boulders are hurled at the foe.\nIt also lowers the target's SPEED\nstat if it hits.,,1,,0,,0,0,0
328,ITEM_TM40,TM40,,3000,4,0,0,An extremely fast attack against\none target. It is impossible to\nevade.,,1,,0,,0,0,0
329,ITEM_TM41,TM41,,3000,4,0,0,"If enraged by this move, the target\nbecomes incapable of using the same\nmove twice in a row.",,1,,0,,0,0,0
330,ITEM_TM42,TM42,,3000,4,0,0,"An attack move that becomes very\npowerful if the user is poisoned,\nburned, or paralyzed.",,1,,0,,0,0,0
331,ITEM_TM43,TM43,,3000,4,0,0,An attack move that may have an\nadditional effect depending on the\nbattle terrain.,,1,,0,,0,0,0
332,ITEM_TM44,TM44,,3000,4,0,0,A move that makes the user fall\nasleep over two turns to restore HP\nand heal any status problems.,,1,,0,,0,0,0
333,ITEM_TM45,TM45,,3000,4,0,0,"The foe, if it is the opposite\ngender as the user, becomes\ninfatuated and may not attack.",,1,,0,,0,0,0
334,ITEM_TM46,TM46,,3000,4,0,0,An attack that gives the user an\nopportunity to steal the foe's hold\nitem.,,1,,0,,0,0,0
335,ITEM_TM47,TM47,,3000,4,0,0,The foe is struck with steel-hard\nwings. It may also raise the user's\nDEFENSE stat.,,1,,0,,0,0,0
336,ITEM_TM48,TM48,,3000,4,0,0,"A special power is transmitted to\nthe foe, causing it to switch\nabilities with the user.",,1,,0,,0,0,0
337,ITEM_TM49,TM49,,3000,4,0,0,A move that steals the effects of\nany status-changing or healing move\nthat the foe tries to use.,,1,,0,,0,0,0
338,ITEM_TM50,TM50,,3000,4,0,0,"A maximum-power attack of great\nferocity, but one that also sharply\nreduces the user's SP. ATK stat.",,1,,0,,0,0,0
339,ITEM_HM01,HM01,,0,4,0,0,Attacks the foe with sharp blades\nor claws. It can also cut down thin\ntrees and grass outside of battle.,,1,,0,,0,1,0
340,ITEM_HM02,HM02,,0,4,0,0,"The user flies up on the first turn,\nthen attacks next turn. It can be\nused to fly to any known town.",,1,,0,,0,1,0
341,ITEM_HM03,HM03,,0,4,0,0,"Creates a huge wave, then crashes\nit down on the foe. It can be used\nfor traveling on water.",,1,,0,,0,1,0
342,ITEM_HM04,HM04,,0,4,0,0,"The user builds enormous power,\nthen slams the foe. It can be used\nfor moving large, round boulders.",,1,,0,,0,1,0
343,ITEM_HM05,HM05,,0,4,0,0,Looses a powerful blast of light\nthat reduces the foe's accuracy.\nIt also lights up dark caves.,,1,,0,,0,1,0
344,ITEM_HM06,HM06,,0,4,0,0,Hits the foe with a rock-crushingly\ntough attack. It can smash cracked\nboulders.,,1,,0,,0,1,0
345,ITEM_HM07,HM07,,0,4,0,0,A powerful charge attack. It can\nbe used for climbing a torrential\nwaterfall.,,1,,0,,0,1,0
346,ITEM_HM08,HM08,,0,4,0,0,"A 2-turn attack in which the user\ndives underwater on the first turn,\nthen strikes in the next turn.",,1,,0,,0,1,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
0,ITEM_NONE,????????,,0,1,0,0,?????,,4,,0,,0,0,0
349,ITEM_OAKS_PARCEL,OAK'S PARCEL,,0,2,0,0,A parcel to be delivered to PROF.\nOAK from VIRIDIAN CITY's POKéMON\nMART.,,4,,0,,0,2,0
350,ITEM_POKE_FLUTE,POKé FLUTE,,0,2,0,0,A flute that is said to instantly\nawaken any POKéMON. It has a\nlovely tone.,,4,,2,,0,1,0
351,ITEM_SECRET_KEY,SECRET KEY,,0,2,0,0,The key to CINNABAR ISLAND GYM's\nfront door. It is colored red and\ndecorated.,,4,,0,,0,1,0
352,ITEM_BIKE_VOUCHER,BIKE VOUCHER,,0,2,0,0,Take this voucher to the BIKE SHOP\nin CERULEAN CITY and exchange it\nfor a bicycle.,,4,,0,,0,1,0
353,ITEM_GOLD_TEETH,GOLD TEETH,,0,2,0,0,A set of false teeth lost by the\nSAFARI ZONE'S WARDEN. It makes his\nsmile sparkle.,,4,,0,,0,1,0
354,ITEM_OLD_AMBER,OLD AMBER,,0,2,0,0,A piece of amber that contains\nthe genes of an ancient POKéMON.\nIt is clear with a reddish tint.,,4,,0,,0,1,0
355,ITEM_CARD_KEY,CARD KEY,,0,2,0,0,A card-type key that unlocks doors\nin SILPH CO.'s HEAD OFFICE in\nSAFFRON CITY.,,4,,0,,0,1,0
356,ITEM_LIFT_KEY,LIFT KEY,,0,2,0,0,A key that operates the elevator\nin TEAM ROCKET's HIDEOUT.\nIt bears the TEAM ROCKET logo.,,4,,0,,0,1,0
357,ITEM_HELIX_FOSSIL,HELIX FOSSIL,,0,2,0,0,"A fossil of an ancient, seafloor-\ndwelling POKéMON. It appears to be\npart of a seashell.",,4,,0,,0,1,0
358,ITEM_DOME_FOSSIL,DOME FOSSIL,,0,2,0,0,"A fossil of an ancient, seafloor-\ndwelling POKéMON. It appears to be\npart of a shell.",,4,,0,,0,1,0
359,ITEM_SILPH_SCOPE,SILPH SCOPE,,0,2,0,0,A scope that makes unseeable\nPOKéMON visible.\nIt is made by SILPH CO.,,4,,0,,0,1,0
360,ITEM_BICYCLE,BICYCLE,,0,2,0,0,A folding bicycle that allows\nfaster movement than the RUNNING\nSHOES.,,2,,0,,0,1,1
361,ITEM_TOWN_MAP,TOWN MAP,,0,2,0,0,A very convenient map that can be\nviewed anytime. It even shows your \npresent location.,,4,,0,,0,1,1
362,ITEM_VS_SEEKER,VS SEEKER,,0,2,0,0,A device that indicates TRAINERS\nwho want to battle. The battery\ncharges while traveling.,,2,,0,,0,1,1
363,ITEM_FAME_CHECKER,FAME CHECKER,,0,2,0,0,A device that enables you to\nrecall what you've heard and seen\nabout famous people.,,4,,0,,0,1,1
364,ITEM_TM_CASE,TM CASE,,0,2,0,0,A case that holds TMs and HMs.\nIt is attached to the BAG's\ncompartment for important items.,,4,,0,,0,1,1
365,ITEM_BERRY_POUCH,BERRY POUCH,,0,2,0,0,A pouch for carrying BERRIES.\nIt is attached to the BAG's\ncompartment for important items.,,4,,3,,0,1,1
366,ITEM_TEACHY_TV,TEACHY TV,,0,2,0,0,A television set that is tuned to\na program with useful tips for\nnovice TRAINERS.,,2,,0,,0,1,1
367,ITEM_TRI_PASS,TRI-PASS,,0,2,0,0,"A pass for ferries between ONE,\nTWO, and THREE ISLAND.\nIt has a drawing of three islands.",,4,,0,,0,1,1
368,ITEM_RAINBOW_PASS,RAINBOW PASS,,0,2,0,0,A pass for ferries between\nVERMILION and the SEVII ISLANDS.\nIt features a drawing of a rainbow.,,4,,0,,0,1,1
369,ITEM_TEA,TEA,,0,2,0,0,An aromatic tea prepared by an old\nlady. It will slake even the worst\nthirst.,,4,,0,,0,1,1
370,ITEM_MYSTIC_TICKET,MYSTICTICKET,,0,2,0,0,A ticket required to board the ship\nto NAVEL ROCK.\nIt glows with a mystic light.,,4,,0,,0,1,1
371,ITEM_AURORA_TICKET,AURORATICKET,,0,2,0,0,A ticket required to board the ship\nto BIRTH ISLAND.\nIt glows beautifully.,,4,,0,,0,1,1
372,ITEM_POWDER_JAR,POWDER JAR,,0,2,0,0,A jar for storing BERRY POWDER\nmade using a BERRY CRUSHER.,,4,,0,,0,1,1
373,ITEM_RUBY,RUBY,,0,2,0,0,An exquisitely beautiful gem that\nhas a red glow.\nIt symbolizes passion.,,4,,0,,0,1,1
